year,educ_cat,nchild,nochild,onechild,twochild,threechild,fourchild
1950,1,2.6037841,.15765934,.18559538,.23358713,.15962942,.26352873
1960,1,2.1388073,.18740347,.21192375,.25842553,.15975204,.18249519
1970,1,2.5253637,.13720642,.16670628,.24619663,.19466102,.25522962
1980,1,2.1754956,.13067341,.20428313,.29204443,.2072964,.1657026
1990,1,1.6712768,.18478951,.27550963,.32800138,.14350061,.068198882
2000,1,1.5922991,.21924525,.25761026,.32260537,.1416322,.058906909
2010,1,1.6553288,.20963232,.24783972,.33073536,.14376482,.068027787
1950,2,1.5321954,.28316525,.23894492,.26299456,.14274631,.072148956
1960,2,2.1786172,.1483587,.18356867,.29836786,.19805612,.17164864
1970,2,2.5756652,.10337231,.14353499,.2714794,.23148619,.25012711
1980,2,2.1053798,.12701054,.18147531,.34265113,.2160843,.1327787
1990,2,1.6438525,.19329867,.25348365,.35364643,.14232403,.05724721
2000,2,1.7100911,.18685198,.23426886,.35216305,.16329996,.063416161
2010,2,1.7673162,.16998518,.23120102,.36687142,.15881169,.07313069
1950,3,1.4675767,.278157,.24232082,.29863483,.12798634,.052901022
1960,3,2.2725394,.12655087,.15591398,.3209264,.22373863,.17287014
1970,3,2.6525345,.086943164,.10445469,.29708141,.26082948,.25069124
1980,3,2.1686549,.094970763,.15111111,.40654972,.23438597,.11298246
1990,3,1.6879652,.20092379,.20323326,.38602343,.15285262,.056966897
2000,3,1.7635361,.18075325,.18987945,.39358443,.17578152,.060001362
2010,3,1.859118,.15123644,.17943721,.41905227,.184249,.066025093
1950,4,1.2980769,.375,.17307693,.28365386,.13942307,.028846154
1960,4,1.8753148,.20403023,.20151134,.28841311,.18639798,.11964735
1970,4,2.2152174,.1442029,.15869565,.28913045,.24130435,.16666667
1980,4,1.7849356,.17641228,.19656426,.38586059,.17575157,.065411299
1990,4,1.4864825,.24258366,.22490136,.37790442,.12216864,.03244191
2000,4,1.6358809,.21029767,.20305713,.38632342,.15671761,.043604184
2010,4,1.7956252,.1545326,.18587442,.43758842,.1697682,.052236371
